기간,지역,매출액,관객수
2020-08-16~2020-08-22,서울시,"3,361,656,490","368,804"
2020-08-23~2020-08-29,서울시,"2,189,550,260","247,399"
2020-08-30~2020-09-05,서울시,"1,842,116,650","200,100"
2020-09-06~2020-09-12,서울시,"1,733,144,880","188,395"
2020-09-13~2020-09-19,서울시,"1,571,785,690","172,993"
2020-09-20~2020-09-26,서울시,"1,686,750,342","194,747"
2020-10-04~2020-10-10,서울시,"2,310,220,710","243,950"
2020-10-11~2020-10-17,서울시,"1,635,498,260","175,172"
2020-10-18~2020-10-24,서울시,"2,051,049,940","235,614"
2020-10-25~2020-10-31,서울시,"2,345,716,060","266,763"
2020-11-01~2020-11-07,서울시,"2,686,707,390","290,238"
2020-11-08~2020-11-14,서울시,"2,595,964,430","284,599"
2020-11-15~2020-11-21,서울시,"2,087,858,250","229,587"
2020-11-22~2020-11-28,서울시,"1,340,672,930","155,879"
2020-11-29~2020-12-05,서울시,"978,608,420","116,440"
2020-12-06~2020-12-12,서울시,"752,040,660","87,820"
2020-12-13~2020-12-19,서울시,"606,209,800","71,087"
2020-12-20~2020-12-26,서울시,"1,249,933,430","141,279"
2020-12-27~2020-12-31,서울시,"754,663,270","91,153"
