,지역,매출액,관객수,주
7,부산시,"1,114,537,230","123,943",2020-08-16
7,부산시,"618,924,290","71,890",2020-08-23
7,부산시,"467,448,880","53,630",2020-08-30
7,부산시,"401,747,560","45,878",2020-09-06
7,부산시,"350,543,860","40,374",2020-09-13
7,부산시,"369,444,420","43,470",2020-09-20
7,부산시,"1,270,147,320","137,503",2020-09-27
7,부산시,"677,889,690","74,197",2020-10-04
7,부산시,"425,792,690","46,497",2020-10-11
7,부산시,"517,480,560","57,976",2020-10-18
7,부산시,"610,113,200","72,140",2020-10-25
7,부산시,"714,585,170","80,006",2020-11-01
7,부산시,"709,390,750","79,471",2020-11-08
7,부산시,"615,709,150","70,033",2020-11-15
7,부산시,"418,791,390","49,512",2020-11-22
7,부산시,"231,147,290","27,151",2020-11-29
7,부산시,"179,772,960","20,889",2020-12-06
7,부산시,"137,530,150","16,161",2020-12-13
7,부산시,"263,412,500","30,494",2020-12-20
7,부산시,"162,778,220","20,138",2020-12-27
